date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:50	572032/572032	---M--	200	added ('OK')	text/html	etag:%228ba80-62d00212b4e00%22	https://spacingtech.com/html/mitho/mitho/index-3.html	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/index-3.html	(from )
12:29:50	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Feb%202025%2006:59:49%20GMT	https://spacingtech.com/robots.txt		(from )
12:29:50	326/326	---M--	200	added ('OK')	image/svg+xml	etag:%22146-5dbea96c6e280%22	https://spacingtech.com/html/mitho/mitho/img/favicon/favicon3.svg	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/img/favicon/favicon3.svg	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:50	155845/155845	---M--	200	added ('OK')	text/css	etag:%22260c5-5e87eda16bd80%22	https://spacingtech.com/html/mitho/mitho/css/bootstrap.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/bootstrap.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:50	75088/75088	---M--	200	added ('OK')	text/css	etag:%2212550-5fea5d75fec00%22	https://spacingtech.com/html/mitho/mitho/css/bootstrap-icons.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/bootstrap-icons.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:51	10644/10644	---M--	200	added ('OK')	text/css	etag:%222994-5fe9631773a00%22	https://spacingtech.com/html/mitho/mitho/css/magnific-popup.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/magnific-popup.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:51	101944/101944	---M--	200	added ('OK')	text/css	etag:%2218e38-5fdf374eb2100%22	https://spacingtech.com/html/mitho/mitho/css/all.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/all.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:51	13388/13388	---M--	200	added ('OK')	text/css	etag:%22344c-5f4ab6c5a5e80%22	https://spacingtech.com/html/mitho/mitho/css/feather.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/feather.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:51	96635/96635	---M--	200	added ('OK')	text/css	etag:%221797b-62b3443ad7980%22	https://spacingtech.com/html/mitho/mitho/css/animate.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/animate.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:52	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-5d4581c444500%22	https://spacingtech.com/html/mitho/mitho/css/owl.carousel.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/owl.carousel.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:52	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-5d4581c444500%22	https://spacingtech.com/html/mitho/mitho/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/owl.theme.default.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
12:29:52	15821/15821	---M--	200	added ('OK')	text/css	etag:%223dcd-5f94d36476580%22	https://spacingtech.com/html/mitho/mitho/css/swiper-bundle.min.css	C:/My%20Web%20Sites/Coffee%20shop/spacingtech.com/html/mitho/mitho/css/swiper-bundle.min.css	(from https://spacingtech.com/html/mitho/mitho/index-3.html)
